,sr_number,sr_type,sr_short_code,created_department,owner_department,status,origin,created_date,last_modified_date,closed_date,street_address,city,state,zip_code,street_number,street_direction,street_name,street_type,duplicate,legacy_record,community_area,ward,electricity_grid,police_sector,police_district,police_beat,precinct,created_hour,created_day_of_week,created_month,x_coordinate,y_coordinate,latitude,longitude,location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,parent_sr_number
10,SR19-03236891,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:33:20.000,2020-01-01T00:30:47.000,2019-12-31T23:33:20.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
11,SR19-03236890,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:30:46.000,2020-01-01T00:30:27.000,2019-12-31T23:30:47.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
12,SR19-03236889,Alley Light Out Complaint,SFA,311 City Services,CDOT - Department of Transportation,Completed,Phone Call,2019-12-31T23:28:34.000,2020-02-06T16:55:51.000,2020-02-06T16:55:51.000,8746 S EAST END AVE,,,60617.0,8746,S,EAST END,AVE,True,False,48,8,U043,1,4,412,8,23,3,12,1189009.358825,1847131.479012,41.735594774,-87.583128893,"{'latitude': '41.73559477375159', 'longitude': '-87.58312889279638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",25,44,21202,473.0,35,SR19-03150088
13,SR19-03236888,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:28:34.000,2019-12-31T23:30:26.000,2019-12-31T23:28:34.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
14,SR19-03236887,Street Light Out Complaint,SFD,,CDOT - Department of Transportation,Completed,Internet,2019-12-31T23:26:54.000,2020-01-02T06:44:37.000,2020-01-02T06:44:37.000,8746 S EAST END AVE,,,60617.0,8746,S,EAST END,AVE,True,False,48,8,U043,1,4,412,8,23,3,12,1189009.358825,1847131.479012,41.735594774,-87.583128893,"{'latitude': '41.73559477375159', 'longitude': '-87.58312889279638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",25,44,21202,473.0,35,SR19-03198856
15,SR19-03236886,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:26:28.000,2019-12-31T23:30:41.000,2019-12-31T23:26:28.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
16,SR19-03236885,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:26:16.000,2019-12-31T23:30:41.000,2019-12-31T23:26:16.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
17,SR19-03236884,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:25:56.000,2019-12-31T23:30:26.000,2019-12-31T23:25:56.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
18,SR19-03236883,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:25:44.000,2019-12-31T23:30:41.000,2019-12-31T23:25:45.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
19,SR19-03236882,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:25:13.000,2019-12-31T23:30:41.000,2019-12-31T23:25:13.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
20,SR19-03236881,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:23:49.000,2019-12-31T23:30:41.000,2019-12-31T23:23:50.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
21,SR19-03236880,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:21:42.000,2019-12-31T23:30:41.000,2019-12-31T23:21:43.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
22,SR19-03236879,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:21:36.000,2019-12-31T23:30:41.000,2019-12-31T23:21:37.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
23,SR19-03236878,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:20:35.000,2019-12-31T23:30:41.000,2019-12-31T23:20:36.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
24,SR19-03236877,Snow – Uncleared Sidewalk Complaint,SWSNOREM,311 City Services,CDOT - Department of Transportation,Completed,Phone Call,2019-12-31T23:17:28.000,2020-01-03T14:24:39.000,2020-01-03T14:24:39.000,4026 N KEYSTONE AVE,,,60641.0,4026,N,KEYSTONE,AVE,False,False,16,39,F012,2,17,1722,34,23,3,12,1148367.275308,1926594.686881,41.954527907,-87.729981761,"{'latitude': '41.9545279067556', 'longitude': '-87.72998176106265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",21,16,22618,269.0,38,
25,SR19-03236876,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:12:24.000,2019-12-31T23:30:26.000,2019-12-31T23:12:24.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
26,SR19-03236874,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:11:51.000,2019-12-31T23:30:41.000,2019-12-31T23:11:51.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
27,SR19-03236873,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:10:31.000,2019-12-31T23:30:41.000,2019-12-31T23:10:32.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
28,SR19-03236872,Street Light Out Complaint,SFD,,CDOT - Department of Transportation,Completed,Mobile Device,2019-12-31T23:08:15.000,2020-01-15T06:19:37.000,2020-01-15T06:19:37.000,5035 S LAKE SHORE DR,,,60615.0,5035,S,LAKE SHORE,DR,True,False,39,5,U033,2,2,222,7,23,3,12,1189212.729027,1871835.902886,41.803380894,-87.581592772,"{'latitude': '41.80338089375511', 'longitude': '-87.581592771883', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,5,21192,400.0,33,SR19-02079771
29,SR19-03236871,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,2019-12-31T23:07:40.000,2019-12-31T23:30:26.000,2019-12-31T23:07:41.000,10510 W ZEMKE RD,Chicago,IL,60666.0,10510,W,ZEMKE,RD,False,False,76,41,,5,16,1654,27,23,3,12,1105376.188336,1941042.52737,41.994896549,-87.887751654,"{'latitude': '41.9948965489749', 'longitude': '-87.8877516541201', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,75,16197,668.0,29,
30,SR19-03236870,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:07:13.000,2019-12-31T23:30:41.000,2019-12-31T23:07:13.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
31,SR19-03236869,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:06:11.000,2019-12-31T23:30:41.000,2019-12-31T23:06:12.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
32,SR19-03236867,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:05:23.000,2019-12-31T23:30:41.000,2019-12-31T23:05:23.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
33,SR19-03236866,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,2019-12-31T23:05:16.000,2019-12-31T23:30:41.000,2019-12-31T23:05:16.000,10510 W ZEMKE RD,Chicago,IL,60666.0,10510,W,ZEMKE,RD,False,False,76,41,,5,16,1654,27,23,3,12,1105376.188336,1941042.52737,41.994896549,-87.887751654,"{'latitude': '41.9948965489749', 'longitude': '-87.8877516541201', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,75,16197,668.0,29,
34,SR19-03236865,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,2019-12-31T23:05:04.000,2019-12-31T23:30:41.000,2019-12-31T23:05:04.000,10510 W ZEMKE RD,Chicago,IL,60666.0,10510,W,ZEMKE,RD,False,False,76,41,,5,16,1654,27,23,3,12,1105376.188336,1941042.52737,41.994896549,-87.887751654,"{'latitude': '41.9948965489749', 'longitude': '-87.8877516541201', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,75,16197,668.0,29,
35,SR19-03236864,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:04:30.000,2019-12-31T23:30:41.000,2019-12-31T23:04:31.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
36,SR19-03236863,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,2019-12-31T23:04:11.000,2019-12-31T23:30:41.000,2019-12-31T23:04:11.000,10510 W ZEMKE RD,Chicago,IL,60666.0,10510,W,ZEMKE,RD,False,False,76,41,,5,16,1654,27,23,3,12,1105376.188336,1941042.52737,41.994896549,-87.887751654,"{'latitude': '41.9948965489749', 'longitude': '-87.8877516541201', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,75,16197,668.0,29,
37,SR19-03236862,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:03:42.000,2019-12-31T23:30:41.000,2019-12-31T23:03:42.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
38,SR19-03236861,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:03:27.000,2019-12-31T23:30:41.000,2019-12-31T23:03:28.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
39,SR19-03236860,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:02:40.000,2019-12-31T23:30:41.000,2019-12-31T23:02:41.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
40,SR19-03236859,Traffic Signal Out Complaint,SFB,311 City Services,CDOT - Department of Transportation,Completed,Phone Call,2019-12-31T23:00:43.000,2020-08-26T19:41:00.000,2020-08-26T19:41:00.000,4700 S WOODLAWN AVE,,,60615.0,4700,S,WOODLAWN,AVE,False,False,39,4,S033,2,2,222,24,23,3,12,1185027.272939,1874051.132639,41.809559075,-87.596873014,"{'latitude': '41.809559075406874', 'longitude': '-87.59687301413355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,5,21192,399.0,10,
41,SR19-03236858,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T22:59:59.000,2019-12-31T23:30:41.000,2019-12-31T22:59:59.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,22,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
42,SR19-03236857,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T22:58:43.000,2019-12-31T23:30:41.000,2019-12-31T22:58:44.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,22,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
43,SR19-03236856,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T22:57:25.000,2019-12-31T23:30:26.000,2019-12-31T22:57:25.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,22,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
44,SR19-03236855,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T22:56:47.000,2019-12-31T23:30:41.000,2019-12-31T22:56:48.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,22,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
45,SR19-03236854,Alley Light Out Complaint,SFA,,CDOT - Department of Transportation,Completed,Internet,2019-12-31T22:54:37.000,2020-02-03T12:40:48.000,2020-02-03T12:40:48.000,10503 S CENTRAL PARK AVE,,,60655.0,10503,S,CENTRAL PARK,AVE,True,False,74,19,H047,1,22,2211,24,22,3,12,1154209.626314,1834705.83384,41.702258232,-87.71095147,"{'latitude': '41.70225823187349', 'longitude': '-87.71095147037195', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33,73,4447,316.0,42,SR19-02611523
46,SR19-03236853,Alley Light Out Complaint,SFA,,CDOT - Department of Transportation,Completed,Internet,2019-12-31T22:53:14.000,2020-02-03T12:35:39.000,2020-02-03T12:35:39.000,10513 S CENTRAL PARK AVE,,,60655.0,10513,S,CENTRAL PARK,AVE,True,False,74,19,H047,1,22,2211,24,22,3,12,1154212.955409,1834610.575536,41.701996759,-87.710941801,"{'latitude': '41.70199675902536', 'longitude': '-87.71094180082349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33,73,4447,316.0,42,SR19-03178915
47,SR19-03236852,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T22:51:05.000,2019-12-31T23:30:41.000,2019-12-31T22:51:05.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,22,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
48,SR19-03236851,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T22:50:52.000,2019-12-31T23:30:26.000,2019-12-31T22:50:53.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,22,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
